intervention_id,intervention_url,date_announced,gta_evaluation,intervention_type,mast_chapter,is_in_force,implementing_jurisdictions,affected_hs_codes
155740,https://globaltradealert.org/intervention/155740,2026-05-22,Red,Interest payment subsidy,L: Subsidies (excl. export subsidies),Yes,Italy,"420100, 420211, 420212, 420219, 420221, 420222, 420229, 420231, 420232, 420239, 420291, 420292, 420299, 420310, 420321, 420329, 420330, 420340, 420500, 420600, 430110, 430130, 430160, 430180, 430190, 430211, 430219, 430220, 430230, 430310, 430390, 430400, 440111, 440112, 440121, 440122, 440131, 440132, 440139, 440141, 440149, 440210, 440220, 440290, 440311, 440312, 440321, 440322, 440323, 440324, 440325, 440326, 440341, 440342, 440349, 440391, 440393, 440394, 440395, 440396, 440397, 440398, 440399, 440410, 440420, 440500, 440611, 440612, 440691, 440692, 440711, 440712, 440713, 440714, 440719, 440721, 440722, 440723, 440725, 440726, 440727, 440728, 440729, 440791, 440792, 440793, 440794, 440795, 440796, 440797, 440799, 440810, 440831, 440839, 440890, 440910, 440921, 440922, 440929, 441011, 441012, 441019, 441090, 441112, 441113, 441114, 441192, 441193, 441194, 441210, 441231, 441233, 441234, 441239, 441241, 441242, 441249, 441251, 441252, 441259, 441291, 441292, 441299, 441300, 441410, 441490, 441510, 441520, 441600, 441700, 441811, 441819, 441821, 441829, 441830, 441840, 441850, 441873, 441874, 441875, 441879, 441881, 441882, 441883, 441889, 441891, 441892, 441899, 441911, 441912, 441919, 441920, 441990, 442011, 442019, 442090, 442110, 442120, 442191, 442199, 570110, 570190, 570210, 570220, 570231, 570232, 570239, 570241, 570242, 570249, 570250, 570291, 570292, 570299, 570310, 570321, 570329, 570331, 570339, 570390, 570410, 570420, 570490, 570500, 610120, 610130, 610190, 610210, 610220, 610230, 610290, 610310, 610322, 610323, 610329, 610331, 610332, 610333, 610339, 610341, 610342, 610343, 610349, 610413, 610419, 610422, 610423, 610429, 610431, 610432, 610433, 610439, 610441, 610442, 610443, 610444, 610449, 610451, 610452, 610453, 610459, 610461, 610462, 610463, 610469, 610510, 610520, 610590, 610610, 610620, 610690, 610711, 610712, 610719, 610721, 610722, 610729, 610791, 610799, 610811, 610819, 610821, 610822, 610829, 610831, 610832, 610839, 610891, 610892, 610899, 610910, 610990, 611011, 611012, 611019, 611020, 611030, 611090, 611120, 611130, 611190, 611211, 611212, 611219, 611220, 611231, 611239, 611241, 611249, 611300, 611420, 611430, 611490, 611510, 611521, 611522, 611529, 611530, 611594, 611595, 611596, 611599, 611610, 611691, 611692, 611693, 611699, 611710, 611780, 611790, 620120, 620130, 620140, 620190, 620220, 620230, 620240, 620290, 620311, 620312, 620319, 620322, 620323, 620329, 620331, 620332, 620333, 620339, 620341, 620342, 620343, 620349, 620411, 620412, 620413, 620419, 620421, 620422, 620423, 620429, 620431, 620432, 620433, 620439, 620441, 620442, 620443, 620444, 620449, 620451, 620452, 620453, 620459, 620461, 620462, 620463, 620469, 620520, 620530, 620590, 620610, 620620, 620630, 620640, 620690, 620711, 620719, 620721, 620722, 620729, 620791, 620799, 620811, 620819, 620821, 620822, 620829, 620891, 620892, 620899, 620920, 620930, 620990, 621010, 621020, 621030, 621040, 621050, 621111, 621112, 621120, 621132, 621133, 621139, 621142, 621143, 621149, 621210, 621220, 621230, 621290, 621320, 621390, 621410, 621420, 621430, 621440, 621490, 621510, 621520, 621590, 621600, 621710, 621790, 640110, 640192, 640199, 640212, 640219, 640220, 640291, 640299, 640312, 640319, 640320, 640340, 640351, 640359, 640391, 640399, 640411, 640419, 640420, 640510, 640520, 640590, 640610, 640620, 640690, 690100, 690210, 690220, 690290, 690310, 690320, 690390, 690410, 690490, 690510, 690590, 690600, 690721, 690722, 690723, 690730, 690740, 690911, 690912, 690919, 690990, 691010, 691090, 691110, 691190, 691200, 691310, 691390, 691410, 691490, 700100, 700210, 700220, 700231, 700232, 700239, 700312, 700319, 700320, 700330, 700420, 700490, 700510, 700521, 700529, 700530, 700600, 700711, 700719, 700721, 700729, 700800, 700910, 700991, 700992, 701010, 701020, 701090, 701110, 701120, 701190, 701310, 701322, 701328, 701333, 701337, 701341, 701342, 701349, 701391, 701399, 701400, 701510, 701590, 701610, 701690, 701710, 701720, 701790, 701810, 701820, 701890, 701911, 701912, 701913, 701914, 701915, 701919, 701961, 701962, 701963, 701964, 701965, 701966, 701969, 701971, 701972, 701973, 701980, 701990, 702000, 710110, 710121, 710122, 710210, 710221, 710229, 710231, 710239, 710310, 710391, 710399, 710410, 710421, 710429, 710491, 710499, 710510, 710590, 710610, 710691, 710692, 710700, 710811, 710812, 710813, 710820, 710900, 711011, 711019, 711021, 711029, 711031, 711039, 711041, 711049, 711100, 711230, 711291, 711292, 711299, 711311, 711319, 711320, 711411, 711419, 711420, 711510, 711590, 711610, 711620, 711711, 711719, 711790, 711810, 711890, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690, 730711, 730719, 730721, 730722, 730723, 730729, 730791, 730792, 730793, 730799, 730810, 730820, 730830, 730840, 730890, 730900, 731010, 731021, 731029, 731100, 731210, 731290, 731300, 731412, 731414, 731419, 731420, 731431, 731439, 731441, 731442, 731449, 731450, 731511, 731512, 731519, 731520, 731581, 731582, 731589, 731590, 731600, 731700, 731811, 731812, 731813, 731814, 731815, 731816, 731819, 731821, 731822, 731823, 731824, 731829, 731940, 731990, 732010, 732020, 732090, 732111, 732112, 732119, 732181, 732182, 732189, 732190, 732211, 732219, 732290, 732310, 732391, 732392, 732393, 732394, 732399, 732410, 732421, 732429, 732490, 732510, 732591, 732599, 732611, 732619, 732620, 732690, 830110, 830120, 830130, 830140, 830150, 830160, 830170, 830210, 830220, 830230, 830241, 830242, 830249, 830250, 830260, 830300, 830400, 830510, 830520, 830590, 830610, 830621, 830629, 830630, 830710, 830790, 830810, 830820, 830890, 830910, 830990, 831000, 831110, 831120, 831130, 831190, 910111, 910119, 910121, 910129, 910191, 910199, 910211, 910212, 910219, 910221, 910229, 910291, 910299, 910310, 910390, 910400, 910511, 910519, 910521, 910529, 910591, 910599, 910610, 910690, 910700, 910811, 910812, 910819, 910820, 910890, 910910, 910990, 911011, 911012, 911019, 911090, 911110, 911120, 911180, 911190, 911220, 911290, 911310, 911320, 911390, 911430, 911440, 911490, 920110, 920120, 920190, 920210, 920290, 920510, 920590, 920600, 920710, 920790, 920810, 920890, 920930, 920991, 920992, 920994, 920999, 930110, 930120, 930190, 930200, 930310, 930320, 930330, 930390, 930400, 930510, 930520, 930591, 930599, 930621, 930629, 930630, 930690, 930700, 940110, 940120, 940131, 940139, 940141, 940149, 940152, 940153, 940159, 940161, 940169, 940171, 940179, 940180, 940191, 940199, 940210, 940290, 940310, 940320, 940330, 940340, 940350, 940360, 940370, 940382, 940383, 940389, 940391, 940399, 940410, 940421, 940429, 940430, 940440, 940490, 940511, 940519, 940521, 940529, 940531, 940539, 940541, 940542, 940549, 940550, 940561, 940569, 940591, 940592, 940599, 940610, 940620, 940690, 970121, 970122, 970129, 970191, 970192, 970199, 970210, 970290, 970310, 970390, 970400, 970510, 970521, 970522, 970529, 970531, 970539, 970610, 970690"
155749,https://globaltradealert.org/intervention/155749,2026-05-22,Green,Internal taxation of imports,"F:  Price-control measures, including additional taxes and charges",No,Mexico,"271012, 271019, 271020"
155667,https://globaltradealert.org/intervention/155667,2026-05-21,Red,Financial investment support,L: Subsidies (excl. export subsidies),Yes,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",382600
155677,https://globaltradealert.org/intervention/155677,2026-05-21,Amber,Equity stake,L: Subsidies (excl. export subsidies),No,United States of America,"847150, 854231, 854239, 901380"
155678,https://globaltradealert.org/intervention/155678,2026-05-21,Amber,Equity stake,L: Subsidies (excl. export subsidies),No,United States of America,"847150, 854231, 854239, 901380"
155679,https://globaltradealert.org/intervention/155679,2026-05-21,Amber,Equity stake,L: Subsidies (excl. export subsidies),No,United States of America,"847150, 854231, 854239, 901380"
155869,https://globaltradealert.org/intervention/155869,2026-05-21,Red,Controls on commercial transactions and investment instruments,Capital control measures,Yes,Switzerland,"270900, 271012, 271019, 271020, 271091, 271099, 360100, 710811, 710812, 710813, 710820, 820713, 820719, 820720, 820730, 820740, 820750, 820760, 820770, 820780, 820790, 845611, 845612, 845620, 845630, 845640, 845650, 845690, 848210, 848220, 848230, 848240, 848250, 848280, 848291, 848299, 852349, 852351, 852550, 852560, 852581, 852582, 852583, 852589, 853710, 853720, 880211, 880212, 880220, 880230, 880240, 880260, 880510, 880521, 880529, 880621, 880622, 880623, 880624, 880629, 880691, 880692, 880693, 880694, 880699"
155870,https://globaltradealert.org/intervention/155870,2026-05-21,Red,Controls on commercial transactions and investment instruments,Capital control measures,Yes,Switzerland,"270900, 271012, 271019, 271020, 271091, 271099"
155878,https://globaltradealert.org/intervention/155878,2026-05-21,Red,Export ban,P: Export-related measures (incl. subsidies),Yes,Switzerland,"261210, 261220, 262099, 270710, 270720, 270730, 270740, 270750, 270799, 271012, 271019, 271020, 271111, 271112, 271113, 271114, 271119, 271129, 271220, 271290, 280410, 280429, 280440, 280450, 280512, 280519, 280800, 281000, 281111, 281112, 281129, 281211, 281212, 281213, 281214, 281215, 281216, 281217, 281219, 281290, 281390, 281820, 281990, 282110, 282510, 282560, 282590, 282619, 282690, 282739, 282749, 282759, 282760, 282890, 282990, 283010, 283090, 283220, 283329, 283330, 283340, 283410, 283429, 283510, 283529, 283539, 283699, 283711, 283719, 283990, 284020, 284030, 284190, 284290, 284329, 284410, 284420, 284430, 284441, 284442, 284443, 284444, 284450, 284510, 284520, 284530, 284540, 284590, 284920, 284990, 285000, 285310, 285390, 290343, 290344, 290345, 290346, 290347, 290348, 290349, 290351, 290359, 290376, 290383, 290389, 290399, 290491, 290519, 290559, 290930, 290941, 290943, 290944, 291419, 291817, 291819, 292011, 292019, 292021, 292022, 292023, 292024, 292029, 292030, 292090, 292111, 292112, 292113, 292114, 292119, 292144, 292215, 292217, 292218, 292219, 292529, 292800, 292990, 293010, 293060, 293070, 293090, 293110, 293120, 293141, 293142, 293143, 293144, 293145, 293146, 293147, 293148, 293149, 293151, 293152, 293153, 293154, 293159, 293190, 293219, 293299, 293333, 293334, 293335, 293336, 293337, 293339, 293392, 293399, 293492, 293499, 293980, 300249, 300251, 300259, 310230, 310240, 320620, 320649, 321410, 340399, 340420, 340490, 360100, 360200, 360310, 360320, 360330, 360340, 360350, 360360, 370400, 370500, 370710, 380110, 380190, 381511, 381512, 381519, 381590, 381800, 381900, 382211, 382212, 382219, 382290, 382484, 382485, 382486, 382487, 382488, 382489, 382491, 382492, 382499, 382569, 382600, 390290, 390330, 390461, 390469, 390490, 390591, 390599, 390690, 390721, 390729, 390791, 390950, 391000, 391110, 391120, 391190, 391220, 391400, 391690, 391721, 391722, 391729, 391733, 391740, 392094, 392099, 392190, 392390, 392620, 392690, 400219, 400220, 400241, 400249, 400251, 400259, 400291, 400299, 400921, 400922, 400941, 400942, 401519, 401590, 401610, 401699, 401700, 420310, 490110, 490199, 490600, 491199, 540211, 540219, 540220, 540310, 540710, 550311, 550319, 550320, 550390, 550610, 550640, 550690, 550911, 550912, 560490, 560750, 590210, 590220, 590290, 590390, 620130, 620140, 620190, 620230, 620240, 620290, 621010, 621020, 621030, 621040, 621050, 621133, 621143, 621600, 630790, 640192, 680610, 681299, 681511, 681512, 681513, 681519, 681599, 690310, 690320, 690390, 690911, 690912, 690919, 690990, 691410, 691490, 700220, 700312, 700319, 700420, 700490, 701090, 701400, 701911, 701912, 701913, 701914, 701915, 701961, 701962, 701963, 701964, 701965, 701966, 701969, 701971, 701972, 701973, 701980, 701990, 702000, 710421, 710429, 710499, 710692, 710813, 711019, 711029, 711039, 711049, 711510, 711590, 720280, 720291, 720299, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722211, 722219, 722220, 722230, 722240, 722490, 722530, 722540, 722550, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722810, 722830, 722840, 722850, 722860, 722880, 730441, 730449, 730451, 730459, 730490, 730630, 730640, 730650, 730661, 730669, 730690, 730830, 730890, 730900, 731010, 731021, 731029, 732510, 732599, 732619, 732620, 732690, 741021, 741920, 741980, 750220, 750300, 750400, 750512, 750522, 750620, 750711, 750712, 750720, 750890, 760120, 760200, 760310, 760320, 760429, 760529, 760692, 760820, 760900, 761100, 761210, 761290, 761699, 780600, 790700, 800300, 800700, 810110, 810194, 810196, 810197, 810199, 810210, 810299, 810399, 810411, 810419, 810420, 810430, 810490, 810590, 810610, 810690, 810820, 810890, 810921, 810929, 810931, 810991, 810999, 811090, 811100, 811212, 811213, 811219, 811221, 811229, 811231, 811239, 811241, 811249, 811259, 811269, 811292, 811299, 811300, 820730, 840110, 840120, 840130, 840140, 840710, 840810, 840910, 841111, 841112, 841121, 841122, 841181, 841182, 841191, 841199, 841210, 841221, 841229, 841280, 841290, 841350, 841360, 841370, 841381, 841382, 841391, 841410, 841430, 841459, 841460, 841470, 841480, 841490, 841710, 841780, 841861, 841869, 841899, 841920, 841933, 841939, 841940, 841950, 841960, 841989, 841990, 842119, 842121, 842122, 842129, 842139, 842191, 842199, 842230, 842420, 842430, 842449, 842482, 842489, 842490, 842611, 842619, 842699, 842839, 842870, 842890, 844331, 844332, 844399, 844400, 844520, 844590, 844610, 844621, 844629, 844630, 844711, 844712, 844720, 844790, 844820, 844839, 844842, 844849, 844859, 845420, 845430, 845490, 845611, 845630, 845650, 845690, 845710, 845720, 845730, 845811, 845891, 845910, 845921, 845929, 845931, 845939, 845941, 845949, 845951, 845961, 846012, 846022, 846023, 846024, 846040, 846120, 846140, 846190, 846290, 846390, 846420, 846490, 846520, 846591, 846592, 846593, 846596, 846599, 846610, 846620, 846630, 846691, 846692, 846693, 846694, 846880, 846890, 847130, 847141, 847149, 847150, 847160, 847170, 847180, 847190, 847330, 847420, 847521, 847590, 847720, 847780, 847790, 847950, 847981, 847982, 847983, 847989, 847990, 848041, 848049, 848110, 848120, 848130, 848140, 848180, 848190, 848210, 848230, 848250, 848280, 848291, 848299, 848310, 848330, 848340, 848420, 848490, 848510, 848610, 848620, 848630, 848640, 848690, 848710, 848790, 850120, 850132, 850133, 850134, 850171, 850172, 850239, 850300, 850410, 850440, 850450, 850511, 850590, 850650, 850680, 850750, 850760, 850780, 851411, 851419, 851420, 851431, 851432, 851439, 851440, 851490, 851511, 851519, 851531, 851580, 851590, 851680, 851711, 851713, 851714, 851718, 851761, 851762, 851769, 851771, 851779, 851810, 851840, 851890, 851981, 851989, 852190, 852290, 852321, 852329, 852349, 852351, 852352, 852359, 852380, 852550, 852560, 852581, 852582, 852583, 852589, 852610, 852691, 852692, 852713, 852719, 852721, 852729, 852791, 852792, 852799, 852842, 852849, 852852, 852859, 852862, 852910, 852990, 853180, 853190, 853225, 853229, 853400, 853510, 853521, 853529, 853530, 853540, 853590, 853610, 853620, 853630, 853641, 853649, 853650, 853669, 853670, 853690, 853710, 853720, 853890, 854020, 854060, 854079, 854089, 854091, 854099, 854110, 854121, 854129, 854130, 854141, 854142, 854143, 854149, 854151, 854159, 854160, 854190, 854231, 854232, 854233, 854239, 854310, 854320, 854330, 854370, 854390, 854411, 854419, 854420, 854442, 854449, 854460, 854470, 854519, 854590, 854800, 860900, 870422, 870423, 870432, 870442, 870443, 870452, 870590, 880100, 880220, 880230, 880240, 880260, 880610, 880621, 880622, 880623, 880624, 880629, 880691, 880692, 880693, 880694, 880699, 880710, 880720, 880730, 880790, 890590, 890690, 900110, 900190, 900220, 900290, 900580, 900630, 900640, 900653, 900659, 900691, 900699, 900710, 900791, 901320, 901380, 901390, 901410, 901420, 901480, 901490, 901540, 901580, 901590, 901720, 901850, 901890, 902000, 902212, 902219, 902229, 902230, 902290, 902300, 902511, 902519, 902580, 902620, 902690, 902710, 902720, 902730, 902750, 902781, 902789, 902790, 902920, 903010, 903020, 903033, 903040, 903082, 903089, 903090, 903110, 903120, 903141, 903149, 903180, 903190, 903300, 930110, 930190, 930390, 930400, 930599, 930690, 940320, 940360, 940370, 940389, 940549, 961700, 962000"
155564,https://globaltradealert.org/intervention/155564,2026-05-20,Green,Import tariff,Tariff measures,Yes,Australia,"842890, 848110, 848180"
